编号,英文slug,标题,难度,是否付费,任务领受Agent编号,当前任务状态
2310,sum-of-numbers-with-units-digit-k,Sum of Numbers With Units Digit K,中等,否,,已拉取
2311,longest-binary-subsequence-less-than-or-equal-to-k,Longest Binary Subsequence Less Than or Equal to K,中等,否,,已拉取
2312,selling-pieces-of-wood,Selling Pieces of Wood,困难,否,,已拉取
2313,minimum-flips-in-binary-tree-to-get-result,Minimum Flips in Binary Tree to Get Result,困难,是,,已拉取
2314,the-first-day-of-the-maximum-recorded-degree-in-each-city,The First Day of the Maximum Recorded Degree in Each City,中等,是,,已拉取
2315,count-asterisks,Count Asterisks,简单,否,,已拉取
2316,count-unreachable-pairs-of-nodes-in-an-undirected-graph,Count Unreachable Pairs of Nodes in an Undirected Graph,中等,否,,已拉取
2317,maximum-xor-after-operations,Maximum XOR After Operations ,中等,否,,已拉取
2318,number-of-distinct-roll-sequences,Number of Distinct Roll Sequences,困难,否,,已拉取
2319,check-if-matrix-is-x-matrix,Check if Matrix Is X-Matrix,简单,否,,已拉取
2320,count-number-of-ways-to-place-houses,Count Number of Ways to Place Houses,中等,否,,已拉取
2321,maximum-score-of-spliced-array,Maximum Score Of Spliced Array,困难,否,,已拉取
2322,minimum-score-after-removals-on-a-tree,Minimum Score After Removals on a Tree,困难,否,,已拉取
2323,find-minimum-time-to-finish-all-jobs-ii,Find Minimum Time to Finish All Jobs II,中等,是,,已拉取
2324,product-sales-analysis-iv,Product Sales Analysis IV,中等,是,,已拉取
2325,decode-the-message,Decode the Message,简单,否,,已拉取
2326,spiral-matrix-iv,Spiral Matrix IV,中等,否,,已拉取
2327,number-of-people-aware-of-a-secret,Number of People Aware of a Secret,中等,否,,已拉取
2328,number-of-increasing-paths-in-a-grid,Number of Increasing Paths in a Grid,困难,否,,已拉取
2329,product-sales-analysis-v,Product Sales Analysis V,简单,是,,已拉取
2330,valid-palindrome-iv,Valid Palindrome IV,中等,是,,已拉取
2331,evaluate-boolean-binary-tree,Evaluate Boolean Binary Tree,简单,否,,已拉取
2332,the-latest-time-to-catch-a-bus,The Latest Time to Catch a Bus,中等,否,,已拉取
2333,minimum-sum-of-squared-difference,Minimum Sum of Squared Difference,中等,否,,已拉取
2334,subarray-with-elements-greater-than-varying-threshold,Subarray With Elements Greater Than Varying Threshold,困难,否,,已拉取
2335,minimum-amount-of-time-to-fill-cups,Minimum Amount of Time to Fill Cups,简单,否,,已拉取
2336,smallest-number-in-infinite-set,Smallest Number in Infinite Set,中等,否,,已拉取
2337,move-pieces-to-obtain-a-string,Move Pieces to Obtain a String,中等,否,,已拉取
2338,count-the-number-of-ideal-arrays,Count the Number of Ideal Arrays,困难,否,,已拉取
2339,all-the-matches-of-the-league,All the Matches of the League,简单,是,,已拉取
2340,minimum-adjacent-swaps-to-make-a-valid-array,Minimum Adjacent Swaps to Make a Valid Array,中等,是,,已拉取
2341,maximum-number-of-pairs-in-array,Maximum Number of Pairs in Array,简单,否,,已拉取
2342,max-sum-of-a-pair-with-equal-sum-of-digits,Max Sum of a Pair With Equal Sum of Digits,中等,否,,已拉取
2343,query-kth-smallest-trimmed-number,Query Kth Smallest Trimmed Number,中等,否,,已拉取
2344,minimum-deletions-to-make-array-divisible,Minimum Deletions to Make Array Divisible,困难,否,,已拉取
2345,finding-the-number-of-visible-mountains,Finding the Number of Visible Mountains,中等,是,,已拉取
2346,compute-the-rank-as-a-percentage,Compute the Rank as a Percentage,中等,是,,已拉取
2347,best-poker-hand,Best Poker Hand,简单,否,,已拉取
2348,number-of-zero-filled-subarrays,Number of Zero-Filled Subarrays,中等,否,,已拉取
2349,design-a-number-container-system,Design a Number Container System,中等,否,,已拉取
2350,shortest-impossible-sequence-of-rolls,Shortest Impossible Sequence of Rolls,困难,否,,已拉取
2351,first-letter-to-appear-twice,First Letter to Appear Twice,简单,否,,已拉取
2352,equal-row-and-column-pairs,Equal Row and Column Pairs,中等,否,,已拉取
2353,design-a-food-rating-system,Design a Food Rating System,中等,否,,已拉取
2354,number-of-excellent-pairs,Number of Excellent Pairs,困难,否,,已拉取
2355,maximum-number-of-books-you-can-take,Maximum Number of Books You Can Take,困难,是,,已拉取
2356,number-of-unique-subjects-taught-by-each-teacher,Number of Unique Subjects Taught by Each Teacher,简单,否,,已拉取
2357,make-array-zero-by-subtracting-equal-amounts,Make Array Zero by Subtracting Equal Amounts,简单,否,,已拉取
2358,maximum-number-of-groups-entering-a-competition,Maximum Number of Groups Entering a Competition,中等,否,,已拉取
2359,find-closest-node-to-given-two-nodes,Find Closest Node to Given Two Nodes,中等,否,,已拉取
2360,longest-cycle-in-a-graph,Longest Cycle in a Graph,困难,否,,已拉取
2361,minimum-costs-using-the-train-line,Minimum Costs Using the Train Line,困难,是,,已拉取
2362,generate-the-invoice,Generate the Invoice,困难,是,,已拉取
2363,merge-similar-items,Merge Similar Items,简单,否,,已拉取
2364,count-number-of-bad-pairs,Count Number of Bad Pairs,中等,否,,已拉取
2365,task-scheduler-ii,Task Scheduler II,中等,否,,已拉取
2366,minimum-replacements-to-sort-the-array,Minimum Replacements to Sort the Array,困难,否,,已拉取
2367,number-of-arithmetic-triplets,Number of Arithmetic Triplets,简单,否,,已拉取
2368,reachable-nodes-with-restrictions,Reachable Nodes With Restrictions,中等,否,,已拉取
2369,check-if-there-is-a-valid-partition-for-the-array,Check if There is a Valid Partition For The Array,中等,否,,已拉取
2370,longest-ideal-subsequence,Longest Ideal Subsequence,中等,否,,已拉取
2371,minimize-maximum-value-in-a-grid,Minimize Maximum Value in a Grid,困难,是,,已拉取
2372,calculate-the-influence-of-each-salesperson,Calculate the Influence of Each Salesperson,中等,是,,已拉取
2373,largest-local-values-in-a-matrix,Largest Local Values in a Matrix,简单,否,,已拉取
2374,node-with-highest-edge-score,Node With Highest Edge Score,中等,否,,已拉取
2375,construct-smallest-number-from-di-string,Construct Smallest Number From DI String,中等,否,,已拉取
2376,count-special-integers,Count Special Integers,困难,否,,已拉取
2377,sort-the-olympic-table,Sort the Olympic Table,简单,是,,已拉取
2378,choose-edges-to-maximize-score-in-a-tree,Choose Edges to Maximize Score in a Tree,中等,是,,已拉取
2379,minimum-recolors-to-get-k-consecutive-black-blocks,Minimum Recolors to Get K Consecutive Black Blocks,简单,否,,已拉取
2380,time-needed-to-rearrange-a-binary-string,Time Needed to Rearrange a Binary String,中等,否,,已拉取
2381,shifting-letters-ii,Shifting Letters II,中等,否,,已拉取
2382,maximum-segment-sum-after-removals,Maximum Segment Sum After Removals,困难,否,,已拉取
2383,minimum-hours-of-training-to-win-a-competition,Minimum Hours of Training to Win a Competition,简单,否,,已拉取
2384,largest-palindromic-number,Largest Palindromic Number,中等,否,,已拉取
2385,amount-of-time-for-binary-tree-to-be-infected,Amount of Time for Binary Tree to Be Infected,中等,否,,已拉取
2386,find-the-k-sum-of-an-array,Find the K-Sum of an Array,困难,否,,已拉取
2387,median-of-a-row-wise-sorted-matrix,Median of a Row Wise Sorted Matrix,中等,是,,已拉取
2388,change-null-values-in-a-table-to-the-previous-value,Change Null Values in a Table to the Previous Value,中等,是,,已拉取
2389,longest-subsequence-with-limited-sum,Longest Subsequence With Limited Sum,简单,否,,已拉取
2390,removing-stars-from-a-string,Removing Stars From a String,中等,否,,已拉取
2391,minimum-amount-of-time-to-collect-garbage,Minimum Amount of Time to Collect Garbage,中等,否,,已拉取
2392,build-a-matrix-with-conditions,Build a Matrix With Conditions,困难,否,,已拉取
2393,count-strictly-increasing-subarrays,Count Strictly Increasing Subarrays,中等,是,,已拉取
2394,employees-with-deductions,Employees With Deductions,中等,是,,已拉取
2395,find-subarrays-with-equal-sum,Find Subarrays With Equal Sum,简单,否,,已拉取
2396,strictly-palindromic-number,Strictly Palindromic Number,中等,否,,已拉取
2397,maximum-rows-covered-by-columns,Maximum Rows Covered by Columns,中等,否,,已拉取
2398,maximum-number-of-robots-within-budget,Maximum Number of Robots Within Budget,困难,否,,已拉取
2399,check-distances-between-same-letters,Check Distances Between Same Letters,简单,否,,已拉取
2400,number-of-ways-to-reach-a-position-after-exactly-k-steps,Number of Ways to Reach a Position After Exactly k Steps,中等,否,,已拉取
2401,longest-nice-subarray,Longest Nice Subarray,中等,否,,已拉取
2402,meeting-rooms-iii,Meeting Rooms III,困难,否,,已拉取
2403,minimum-time-to-kill-all-monsters,Minimum Time to Kill All Monsters,困难,是,,已拉取
2404,most-frequent-even-element,Most Frequent Even Element,简单,否,,已拉取
2405,optimal-partition-of-string,Optimal Partition of String,中等,否,,已拉取
2406,divide-intervals-into-minimum-number-of-groups,Divide Intervals Into Minimum Number of Groups,中等,否,,已拉取
2407,longest-increasing-subsequence-ii,Longest Increasing Subsequence II,困难,否,,已拉取
2408,design-sql,Design SQL,中等,是,,已拉取
2409,count-days-spent-together,Count Days Spent Together,简单,否,,已拉取
2410,maximum-matching-of-players-with-trainers,Maximum Matching of Players With Trainers,中等,否,,已拉取
2411,smallest-subarrays-with-maximum-bitwise-or,Smallest Subarrays With Maximum Bitwise OR,中等,否,,已拉取
2412,minimum-money-required-before-transactions,Minimum Money Required Before Transactions,困难,否,,已拉取
2413,smallest-even-multiple,Smallest Even Multiple,简单,否,,已拉取
2414,length-of-the-longest-alphabetical-continuous-substring,Length of the Longest Alphabetical Continuous Substring,中等,否,,已拉取
2415,reverse-odd-levels-of-binary-tree,Reverse Odd Levels of Binary Tree,中等,否,,已拉取
2416,sum-of-prefix-scores-of-strings,Sum of Prefix Scores of Strings,困难,否,,已拉取
2417,closest-fair-integer,Closest Fair Integer,中等,是,,已拉取
2418,sort-the-people,Sort the People,简单,否,,已拉取
2419,longest-subarray-with-maximum-bitwise-and,Longest Subarray With Maximum Bitwise AND,中等,否,,已拉取
2420,find-all-good-indices,Find All Good Indices,中等,否,,已拉取
2421,number-of-good-paths,Number of Good Paths,困难,否,,已拉取
2422,merge-operations-to-turn-array-into-a-palindrome,Merge Operations to Turn Array Into a Palindrome,中等,是,,已拉取
2423,remove-letter-to-equalize-frequency,Remove Letter To Equalize Frequency,简单,否,,已拉取
2424,longest-uploaded-prefix,Longest Uploaded Prefix,中等,否,,已拉取
2425,bitwise-xor-of-all-pairings,Bitwise XOR of All Pairings,中等,否,,已拉取
2426,number-of-pairs-satisfying-inequality,Number of Pairs Satisfying Inequality,困难,否,,已拉取
2427,number-of-common-factors,Number of Common Factors,简单,否,,已拉取
2428,maximum-sum-of-an-hourglass,Maximum Sum of an Hourglass,中等,否,,已拉取
2429,minimize-xor,Minimize XOR,中等,否,,已拉取
2430,maximum-deletions-on-a-string,Maximum Deletions on a String,困难,否,,已拉取
2431,maximize-total-tastiness-of-purchased-fruits,Maximize Total Tastiness of Purchased Fruits,中等,是,,已拉取
2432,the-employee-that-worked-on-the-longest-task,The Employee That Worked on the Longest Task,简单,否,,已拉取
2433,find-the-original-array-of-prefix-xor,Find The Original Array of Prefix Xor,中等,否,,已拉取
2434,using-a-robot-to-print-the-lexicographically-smallest-string,Using a Robot to Print the Lexicographically Smallest String,中等,否,,已拉取
2435,paths-in-matrix-whose-sum-is-divisible-by-k,Paths in Matrix Whose Sum Is Divisible by K,困难,否,,已拉取
2436,minimum-split-into-subarrays-with-gcd-greater-than-one,Minimum Split Into Subarrays With GCD Greater Than One,中等,是,,已拉取
2437,number-of-valid-clock-times,Number of Valid Clock Times,简单,否,,已拉取
2438,range-product-queries-of-powers,Range Product Queries of Powers,中等,否,,已拉取
2439,minimize-maximum-of-array,Minimize Maximum of Array,中等,否,,已拉取
2440,create-components-with-same-value,Create Components With Same Value,困难,否,,已拉取
2441,largest-positive-integer-that-exists-with-its-negative,Largest Positive Integer That Exists With Its Negative,简单,否,,已拉取
2442,count-number-of-distinct-integers-after-reverse-operations,Count Number of Distinct Integers After Reverse Operations,中等,否,,已拉取
2443,sum-of-number-and-its-reverse,Sum of Number and Its Reverse,中等,否,,已拉取
2444,count-subarrays-with-fixed-bounds,Count Subarrays With Fixed Bounds,困难,否,,已拉取
2445,number-of-nodes-with-value-one,Number of Nodes With Value One,中等,是,,已拉取
2446,determine-if-two-events-have-conflict,Determine if Two Events Have Conflict,简单,否,,已拉取
2447,number-of-subarrays-with-gcd-equal-to-k,Number of Subarrays With GCD Equal to K,中等,否,,已拉取
2448,minimum-cost-to-make-array-equal,Minimum Cost to Make Array Equal,困难,否,,已拉取
2449,minimum-number-of-operations-to-make-arrays-similar,Minimum Number of Operations to Make Arrays Similar,困难,否,,已拉取
2450,number-of-distinct-binary-strings-after-applying-operations,Number of Distinct Binary Strings After Applying Operations,中等,是,,已拉取
2451,odd-string-difference,Odd String Difference,简单,否,,已拉取
2452,words-within-two-edits-of-dictionary,Words Within Two Edits of Dictionary,中等,否,,已拉取
2453,destroy-sequential-targets,Destroy Sequential Targets,中等,否,,已拉取
2454,next-greater-element-iv,Next Greater Element IV,困难,否,,已拉取
2455,average-value-of-even-numbers-that-are-divisible-by-three,Average Value of Even Numbers That Are Divisible by Three,简单,否,,已拉取
2456,most-popular-video-creator,Most Popular Video Creator,中等,否,,已拉取
2457,minimum-addition-to-make-integer-beautiful,Minimum Addition to Make Integer Beautiful,中等,否,,已拉取
2458,height-of-binary-tree-after-subtree-removal-queries,Height of Binary Tree After Subtree Removal Queries,困难,否,,已拉取
2459,sort-array-by-moving-items-to-empty-space,Sort Array by Moving Items to Empty Space,困难,是,,已拉取
2460,apply-operations-to-an-array,Apply Operations to an Array,简单,否,,已拉取
2461,maximum-sum-of-distinct-subarrays-with-length-k,Maximum Sum of Distinct Subarrays With Length K,中等,否,,已拉取
2462,total-cost-to-hire-k-workers,Total Cost to Hire K Workers,中等,否,,已拉取
2463,minimum-total-distance-traveled,Minimum Total Distance Traveled,困难,否,,已拉取
2464,minimum-subarrays-in-a-valid-split,Minimum Subarrays in a Valid Split,中等,是,,已拉取
2465,number-of-distinct-averages,Number of Distinct Averages,简单,否,,已拉取
2466,count-ways-to-build-good-strings,Count Ways To Build Good Strings,中等,否,,已拉取
2467,most-profitable-path-in-a-tree,Most Profitable Path in a Tree,中等,否,,已拉取
2468,split-message-based-on-limit,Split Message Based on Limit,困难,否,,已拉取
2469,convert-the-temperature,Convert the Temperature,简单,否,,已拉取
2470,number-of-subarrays-with-lcm-equal-to-k,Number of Subarrays With LCM Equal to K,中等,否,,已拉取
2471,minimum-number-of-operations-to-sort-a-binary-tree-by-level,Minimum Number of Operations to Sort a Binary Tree by Level,中等,否,,已拉取
2472,maximum-number-of-non-overlapping-palindrome-substrings,Maximum Number of Non-overlapping Palindrome Substrings,困难,否,,已拉取
2473,minimum-cost-to-buy-apples,Minimum Cost to Buy Apples,中等,是,,已拉取
2474,customers-with-strictly-increasing-purchases,Customers With Strictly Increasing Purchases,困难,是,,已拉取
2475,number-of-unequal-triplets-in-array,Number of Unequal Triplets in Array,简单,否,,已拉取
2476,closest-nodes-queries-in-a-binary-search-tree,Closest Nodes Queries in a Binary Search Tree,中等,否,,已拉取
2477,minimum-fuel-cost-to-report-to-the-capital,Minimum Fuel Cost to Report to the Capital,中等,否,,已拉取
2478,number-of-beautiful-partitions,Number of Beautiful Partitions,困难,否,,已拉取
2479,maximum-xor-of-two-non-overlapping-subtrees,Maximum XOR of Two Non-Overlapping Subtrees,困难,是,,已拉取
2480,form-a-chemical-bond,Form a Chemical Bond,简单,是,,已拉取
2481,minimum-cuts-to-divide-a-circle,Minimum Cuts to Divide a Circle,简单,否,,已拉取
2482,difference-between-ones-and-zeros-in-row-and-column,Difference Between Ones and Zeros in Row and Column,中等,否,,已拉取
2483,minimum-penalty-for-a-shop,Minimum Penalty for a Shop,中等,否,,已拉取
2484,count-palindromic-subsequences,Count Palindromic Subsequences,困难,否,,已拉取
2485,find-the-pivot-integer,Find the Pivot Integer,简单,否,,已拉取
2486,append-characters-to-string-to-make-subsequence,Append Characters to String to Make Subsequence,中等,否,,已拉取
2487,remove-nodes-from-linked-list,Remove Nodes From Linked List,中等,否,,已拉取
2488,count-subarrays-with-median-k,Count Subarrays With Median K,困难,否,,已拉取
2489,number-of-substrings-with-fixed-ratio,Number of Substrings With Fixed Ratio,中等,是,,已拉取
2490,circular-sentence,Circular Sentence,简单,否,,已拉取
2491,divide-players-into-teams-of-equal-skill,Divide Players Into Teams of Equal Skill,中等,否,,已拉取
2492,minimum-score-of-a-path-between-two-cities,Minimum Score of a Path Between Two Cities,中等,否,,已拉取
2493,divide-nodes-into-the-maximum-number-of-groups,Divide Nodes Into the Maximum Number of Groups,困难,否,,已拉取
2494,merge-overlapping-events-in-the-same-hall,Merge Overlapping Events in the Same Hall,困难,是,,已拉取
2495,number-of-subarrays-having-even-product,Number of Subarrays Having Even Product,中等,是,,已拉取
2496,maximum-value-of-a-string-in-an-array,Maximum Value of a String in an Array,简单,否,,已拉取
2497,maximum-star-sum-of-a-graph,Maximum Star Sum of a Graph,中等,否,,已拉取
2498,frog-jump-ii,Frog Jump II,中等,否,,已拉取
2499,minimum-total-cost-to-make-arrays-unequal,Minimum Total Cost to Make Arrays Unequal,困难,否,,已拉取
2500,delete-greatest-value-in-each-row,Delete Greatest Value in Each Row,简单,否,,已拉取
2501,longest-square-streak-in-an-array,Longest Square Streak in an Array,中等,否,,已拉取
2502,design-memory-allocator,Design Memory Allocator,中等,否,,已拉取
2503,maximum-number-of-points-from-grid-queries,Maximum Number of Points From Grid Queries,困难,否,,已拉取
2504,concatenate-the-name-and-the-profession,Concatenate the Name and the Profession,简单,是,,已拉取
2505,bitwise-or-of-all-subsequence-sums,Bitwise OR of All Subsequence Sums,中等,是,,已拉取
2506,count-pairs-of-similar-strings,Count Pairs Of Similar Strings,简单,否,,已拉取
2507,smallest-value-after-replacing-with-sum-of-prime-factors,Smallest Value After Replacing With Sum of Prime Factors,中等,否,,已拉取
2508,add-edges-to-make-degrees-of-all-nodes-even,Add Edges to Make Degrees of All Nodes Even,困难,否,,已拉取
2509,cycle-length-queries-in-a-tree,Cycle Length Queries in a Tree,困难,否,,已拉取
2510,check-if-there-is-a-path-with-equal-number-of-0s-and-1s,Check if There is a Path With Equal Number of 0's And 1's,中等,是,,已拉取
2511,maximum-enemy-forts-that-can-be-captured,Maximum Enemy Forts That Can Be Captured,简单,否,,已拉取
2512,reward-top-k-students,Reward Top K Students,中等,否,,已拉取
2513,minimize-the-maximum-of-two-arrays,Minimize the Maximum of Two Arrays,中等,否,,已拉取
2514,count-anagrams,Count Anagrams,困难,否,,已拉取
2515,shortest-distance-to-target-string-in-a-circular-array,Shortest Distance to Target String in a Circular Array,简单,否,,已拉取
2516,take-k-of-each-character-from-left-and-right,Take K of Each Character From Left and Right,中等,否,,已拉取
2517,maximum-tastiness-of-candy-basket,Maximum Tastiness of Candy Basket,中等,否,,已拉取
2518,number-of-great-partitions,Number of Great Partitions,困难,否,,已拉取
2519,count-the-number-of-k-big-indices,Count the Number of K-Big Indices,困难,是,,已拉取
2520,count-the-digits-that-divide-a-number,Count the Digits That Divide a Number,简单,否,,已拉取
2521,distinct-prime-factors-of-product-of-array,Distinct Prime Factors of Product of Array,中等,否,,已拉取
2522,partition-string-into-substrings-with-values-at-most-k,Partition String Into Substrings With Values at Most K,中等,否,,已拉取
2523,closest-prime-numbers-in-range,Closest Prime Numbers in Range,中等,否,,已拉取
2524,maximum-frequency-score-of-a-subarray,Maximum Frequency Score of a Subarray,困难,是,,已拉取
2525,categorize-box-according-to-criteria,Categorize Box According to Criteria,简单,否,,已拉取
2526,find-consecutive-integers-from-a-data-stream,Find Consecutive Integers from a Data Stream,中等,否,,已拉取
2527,find-xor-beauty-of-array,Find Xor-Beauty of Array,中等,否,,已拉取
2528,maximize-the-minimum-powered-city,Maximize the Minimum Powered City,困难,否,,已拉取
2529,maximum-count-of-positive-integer-and-negative-integer,Maximum Count of Positive Integer and Negative Integer,简单,否,,已拉取
2530,maximal-score-after-applying-k-operations,Maximal Score After Applying K Operations,中等,否,,已拉取
2531,make-number-of-distinct-characters-equal,Make Number of Distinct Characters Equal,中等,否,,已拉取
2532,time-to-cross-a-bridge,Time to Cross a Bridge,困难,否,,已拉取
2533,number-of-good-binary-strings,Number of Good Binary Strings,中等,是,,已拉取
2534,time-taken-to-cross-the-door,Time Taken to Cross the Door,困难,是,,已拉取
2535,difference-between-element-sum-and-digit-sum-of-an-array,Difference Between Element Sum and Digit Sum of an Array,简单,否,,已拉取
2536,increment-submatrices-by-one,Increment Submatrices by One,中等,否,,已拉取
2537,count-the-number-of-good-subarrays,Count the Number of Good Subarrays,中等,否,,已拉取
2538,difference-between-maximum-and-minimum-price-sum,Difference Between Maximum and Minimum Price Sum,困难,否,,已拉取
2539,count-the-number-of-good-subsequences,Count the Number of Good Subsequences,中等,是,,已拉取
2540,minimum-common-value,Minimum Common Value,简单,否,,已拉取
2541,minimum-operations-to-make-array-equal-ii,Minimum Operations to Make Array Equal II,中等,否,,已拉取
2542,maximum-subsequence-score,Maximum Subsequence Score,中等,否,,已拉取
2543,check-if-point-is-reachable,Check if Point Is Reachable,困难,否,,已拉取
2544,alternating-digit-sum,Alternating Digit Sum,简单,否,,已拉取
2545,sort-the-students-by-their-kth-score,Sort the Students by Their Kth Score,中等,否,,已拉取
2546,apply-bitwise-operations-to-make-strings-equal,Apply Bitwise Operations to Make Strings Equal,中等,否,,已拉取
2547,minimum-cost-to-split-an-array,Minimum Cost to Split an Array,困难,否,,已拉取
2548,maximum-price-to-fill-a-bag,Maximum Price to Fill a Bag,中等,是,,已拉取
2549,count-distinct-numbers-on-board,Count Distinct Numbers on Board,简单,否,,已拉取
2550,count-collisions-of-monkeys-on-a-polygon,Count Collisions of Monkeys on a Polygon,中等,否,,已拉取
2551,put-marbles-in-bags,Put Marbles in Bags,困难,否,,已拉取
2552,count-increasing-quadruplets,Count Increasing Quadruplets,困难,否,,已拉取
2553,separate-the-digits-in-an-array,Separate the Digits in an Array,简单,否,,已拉取
2554,maximum-number-of-integers-to-choose-from-a-range-i,Maximum Number of Integers to Choose From a Range I,中等,否,,已拉取
2555,maximize-win-from-two-segments,Maximize Win From Two Segments,中等,否,,已拉取
2556,disconnect-path-in-a-binary-matrix-by-at-most-one-flip,Disconnect Path in a Binary Matrix by at Most One Flip,中等,否,,已拉取
2557,maximum-number-of-integers-to-choose-from-a-range-ii,Maximum Number of Integers to Choose From a Range II,中等,是,,已拉取
2558,take-gifts-from-the-richest-pile,Take Gifts From the Richest Pile,简单,否,,已拉取
2559,count-vowel-strings-in-ranges,Count Vowel Strings in Ranges,中等,否,,已拉取
2560,house-robber-iv,House Robber IV,中等,否,,已拉取
2561,rearranging-fruits,Rearranging Fruits,困难,否,,已拉取
2562,find-the-array-concatenation-value,Find the Array Concatenation Value,简单,否,,已拉取
2563,count-the-number-of-fair-pairs,Count the Number of Fair Pairs,中等,否,,已拉取
2564,substring-xor-queries,Substring XOR Queries,中等,否,,已拉取
2565,subsequence-with-the-minimum-score,Subsequence With the Minimum Score,困难,否,,已拉取
2566,maximum-difference-by-remapping-a-digit,Maximum Difference by Remapping a Digit,简单,否,,已拉取
2567,minimum-score-by-changing-two-elements,Minimum Score by Changing Two Elements,中等,否,,已拉取
2568,minimum-impossible-or,Minimum Impossible OR,中等,否,,已拉取
2569,handling-sum-queries-after-update,Handling Sum Queries After Update,困难,否,,已拉取
2570,merge-two-2d-arrays-by-summing-values,Merge Two 2D Arrays by Summing Values,简单,否,,已拉取
2571,minimum-operations-to-reduce-an-integer-to-0,Minimum Operations to Reduce an Integer to 0,中等,否,,已拉取
2572,count-the-number-of-square-free-subsets,Count the Number of Square-Free Subsets,中等,否,,已拉取
2573,find-the-string-with-lcp,Find the String with LCP,困难,否,,已拉取
2574,left-and-right-sum-differences,Left and Right Sum Differences,简单,否,,已拉取
2575,find-the-divisibility-array-of-a-string,Find the Divisibility Array of a String,中等,否,,已拉取
2576,find-the-maximum-number-of-marked-indices,Find the Maximum Number of Marked Indices,中等,否,,已拉取
2577,minimum-time-to-visit-a-cell-in-a-grid,Minimum Time to Visit a Cell In a Grid,困难,否,,已拉取
2578,split-with-minimum-sum,Split With Minimum Sum,简单,否,,已拉取
2579,count-total-number-of-colored-cells,Count Total Number of Colored Cells,中等,否,,已拉取
2580,count-ways-to-group-overlapping-ranges,Count Ways to Group Overlapping Ranges,中等,否,,已拉取
2581,count-number-of-possible-root-nodes,Count Number of Possible Root Nodes,困难,否,,已拉取
2582,pass-the-pillow,Pass the Pillow,简单,否,,已拉取
2583,kth-largest-sum-in-a-binary-tree,Kth Largest Sum in a Binary Tree,中等,否,,已拉取
2584,split-the-array-to-make-coprime-products,Split the Array to Make Coprime Products,困难,否,,已拉取
2585,number-of-ways-to-earn-points,Number of Ways to Earn Points,困难,否,,已拉取
2586,count-the-number-of-vowel-strings-in-range,Count the Number of Vowel Strings in Range,简单,否,,已拉取
2587,rearrange-array-to-maximize-prefix-score,Rearrange Array to Maximize Prefix Score,中等,否,,已拉取
2588,count-the-number-of-beautiful-subarrays,Count the Number of Beautiful Subarrays,中等,否,,已拉取
2589,minimum-time-to-complete-all-tasks,Minimum Time to Complete All Tasks,困难,否,,已拉取
2590,design-a-todo-list,Design a Todo List,中等,是,,已拉取
2591,distribute-money-to-maximum-children,Distribute Money to Maximum Children,简单,否,,已拉取
2592,maximize-greatness-of-an-array,Maximize Greatness of an Array,中等,否,,已拉取
2593,find-score-of-an-array-after-marking-all-elements,Find Score of an Array After Marking All Elements,中等,否,,已拉取
2594,minimum-time-to-repair-cars,Minimum Time to Repair Cars,中等,否,,已拉取
2595,number-of-even-and-odd-bits,Number of Even and Odd Bits,简单,否,,已拉取
2596,check-knight-tour-configuration,Check Knight Tour Configuration,中等,否,,已拉取
2597,the-number-of-beautiful-subsets,The Number of Beautiful Subsets,中等,否,,已拉取
2598,smallest-missing-non-negative-integer-after-operations,Smallest Missing Non-negative Integer After Operations,中等,否,,已拉取
2599,make-the-prefix-sum-non-negative,Make the Prefix Sum Non-negative,中等,是,,已拉取
2600,k-items-with-the-maximum-sum,K Items With the Maximum Sum,简单,否,,已拉取
2601,prime-subtraction-operation,Prime Subtraction Operation,中等,否,,已拉取
2602,minimum-operations-to-make-all-array-elements-equal,Minimum Operations to Make All Array Elements Equal,中等,否,,已拉取
2603,collect-coins-in-a-tree,Collect Coins in a Tree,困难,否,,已拉取
2604,minimum-time-to-eat-all-grains,Minimum Time to Eat All Grains,困难,是,,已拉取
2605,form-smallest-number-from-two-digit-arrays,Form Smallest Number From Two Digit Arrays,简单,否,,已拉取
2606,find-the-substring-with-maximum-cost,Find the Substring With Maximum Cost,中等,否,,已拉取
2607,make-k-subarray-sums-equal,Make K-Subarray Sums Equal,中等,否,,已拉取
2608,shortest-cycle-in-a-graph,Shortest Cycle in a Graph,困难,否,,已拉取
2609,find-the-longest-balanced-substring-of-a-binary-string,Find the Longest Balanced Substring of a Binary String,简单,否,,已拉取
2610,convert-an-array-into-a-2d-array-with-conditions,Convert an Array Into a 2D Array With Conditions,中等,否,,已拉取
2611,mice-and-cheese,Mice and Cheese,中等,否,,已拉取
2612,minimum-reverse-operations,Minimum Reverse Operations,困难,否,,已拉取
2613,beautiful-pairs,Beautiful Pairs,困难,是,,已拉取
2614,prime-in-diagonal,Prime In Diagonal,简单,否,,已拉取
2615,sum-of-distances,Sum of Distances,中等,否,,已拉取
2616,minimize-the-maximum-difference-of-pairs,Minimize the Maximum Difference of Pairs,中等,否,,已拉取
2617,minimum-number-of-visited-cells-in-a-grid,Minimum Number of Visited Cells in a Grid,困难,否,,已拉取
2618,check-if-object-instance-of-class,Check if Object Instance of Class,中等,否,,已拉取
2619,array-prototype-last,Array Prototype Last,简单,否,,已拉取
2620,counter,Counter,简单,否,,已拉取
2621,sleep,Sleep,简单,否,,已拉取
2622,cache-with-time-limit,Cache With Time Limit,中等,否,,已拉取
